word,atom_id,embedding_score,a1_cosine,a1_margin,a1_l2,top2_atom,focus_rate
kid,BEI.child,0.5652,0.889589,0.004437,10.451641,SOC.defend,0.6031
stance,ACT.stand,0.7731,0.955615,0.004427,4.731807,ACT.rise,0.5294
brilliant,PRP.bright,0.3859,0.941697,0.00442,5.952998,PER.salty,0.7922
opening,CHG.begin,0.5483,0.795589,0.004378,13.211321,WLD.culture,0.4252
easygoing,PRP.easy,0.3546,0.726928,0.004169,6.385272,TIM.indefinite,0.4098
reason,LOG.reason,0.655,0.879796,0.004077,5.195886,VAL.correct,0.3558
training,COM.teach,0.4065,0.906714,0.003992,10.34809,ABS.release,0.3468
squander,ECO.waste,0.5262,0.922524,0.003927,7.3279,STA.poverty,0.5326
tyke,BEI.child,0.4111,0.898039,0.003861,12.69528,EMO.manifest,0.58
sapless,PRP.weak,0.6083,0.925489,0.003842,6.262922,SOC.homeless,0.8361
release,ABS.release,0.6473,0.907479,0.003829,8.837713,COM.teach,0.4031
slumber,SOC.sleep,0.5899,0.965943,0.00377,4.094128,SOC.rest,0.8752
distance,PRP.far,0.5145,0.840048,0.003726,9.732322,SOC.village,0.4622
carve up,COG.separate,0.3917,0.908852,0.003705,6.454945,FND.spatiality,0.6803
excuse,ABS.exempt,0.6488,0.880252,0.003694,7.381089,EMO.like,0.8667
kickoff,CHG.begin,0.4669,0.818981,0.003633,11.401471,PRP.new,0.6444
mum,PER.soundless,0.5632,0.920184,0.003598,13.180927,PRP.far,0.3371
concern,EMO.fear,0.5372,0.923322,0.003483,7.584734,WLD.unskilled,0.4862
set forth,ACT.leave,0.4214,0.879895,0.00347,6.121932,MAT.tool,0.3636
criticism,SOC.criticize,0.6864,0.952349,0.003378,4.621388,EMO.contempt,0.4562
practicable,PRP.possible,0.4509,0.777212,0.00329,5.177989,TIM.indefinite,0.7276
silence,COM.muteness,0.5295,0.927932,0.003257,7.175653,EMO.unhappiness,0.4709
learn,COG.learn,0.4896,0.862154,0.003227,12.411555,FND.mind,0.3366
think of,COG.remember,0.3345,0.87996,0.00318,8.395915,FND.memory,0.5315
perfume,PER.fragrance,0.6002,0.953349,0.003144,9.329123,PER.sweet,0.5287
opulence,STA.wealth,0.7291,0.948764,0.0031,5.177136,PER.sweet,0.5811
mutism,COM.muteness,0.6867,0.925875,0.002994,5.7,PRP.difficult,0.9291
young,BEI.child,0.3524,0.844063,0.002991,12.23806,ACT.give,0.4315
darkness,ELM.darkness,0.8121,0.866394,0.002891,7.918754,ACT.destroy,0.6937
see,PER.see,0.615,0.88448,0.002841,8.435253,ACT.sit,0.5356
ignorance,FND.uninformed,0.5993,0.921446,0.002837,5.527607,COG.ignorance,0.5705
march,BOD.foot,0.3987,0.865695,0.00282,8.232987,NAT.tree,0.7894
conception,ACT.create,0.686,0.791186,0.002751,19.167515,CHG.begin,0.3937
grim,PRP.dark,0.307,0.918056,0.002691,4.850693,PER.bitter,0.3802
abrasive,PRP.rough,0.3465,0.916936,0.002643,6.785509,PRP.dirty,0.7471
worry,EMO.worry,0.6329,0.965039,0.00258,7.954793,EMO.unhappiness,0.597
unclean,PRP.dirty,0.4945,0.923443,0.00256,8.733189,PER.stench,0.5457
virtuous,VAL.good,0.584,0.956253,0.002506,5.793101,ABS.responsibility,0.5636
defrayal,ECO.pay,0.5863,0.910405,0.00243,9.095834,ACT.give,0.4717
accurate,VAL.correct,0.5431,0.873592,0.002389,9.107895,PRP.clear,0.5206
background,FND.information,0.4076,0.854825,0.002342,6.950283,FND.history,0.9282
say,COM.speak,0.3168,0.902766,0.002283,14.52404,SOC.praise,0.5618
fermentation,ACT.agitate,0.7136,0.914207,0.002236,4.629178,LOG.cause,0.3193
felicity,EMO.happiness,0.6657,0.917839,0.002214,9.162546,EMO.joy,0.6375
corporate trust,EMO.trust,0.4106,0.787336,0.002211,9.062144,STA.peace,0.444
dark,ELM.darkness,0.8121,0.870823,0.0022,11.051194,PRP.dark,0.5919
pay,ECO.earn,0.4769,0.897307,0.002175,9.868233,ACT.give,0.6014
silence,COM.silence,0.659,0.871811,0.002112,6.68516,PER.feel,0.4247
vocal,COM.speak,0.5163,0.894508,0.002093,12.66498,FND.language,0.4383
scrap,ECO.waste,0.639,0.930999,0.002083,4.92366,PER.stench,0.9455
combine,EMO.trust,0.4106,0.861915,0.001771,7.611306,BEI.parent,0.5295
closing,CHG.end,0.6301,0.731809,0.001764,7.723896,FND.numberless,0.9852
creation,ACT.create,0.5041,0.723801,0.00176,14.37762,PRP.new,0.5307
slumber,ACT.lie_down,0.3512,0.953784,0.001722,5.941518,SOC.rest,0.5341
creation,ACT.make,0.5668,0.888023,0.001709,15.843257,ACT.create,0.4336
dull,PRP.blunt,0.7512,0.901896,0.001687,10.805734,PRP.shallow,0.4282
development,ACT.create,0.4786,0.759976,0.001644,13.88564,CHG.begin,0.5048
molecule,EXS.matter,0.5146,0.808716,0.001446,10.078062,PRP.possible,0.6897
unlearned,COG.unlearned,0.6021,0.922577,0.001401,5.085884,COG.forget,0.979
youth,BEI.child,0.5902,0.860393,0.001343,12.083649,PRP.young,0.4977
retention,FND.memory,0.6025,0.901746,0.00126,7.666905,COG.remember,0.6335
soiled,PRP.dirty,0.4945,0.948697,0.00124,7.055248,WLD.artless,0.6875
confusion,COG.confusion,0.4635,0.886654,0.001219,7.284082,VAL.falsehood,0.6121
anamnesis,FND.memory,0.6246,0.937349,0.001211,8.828096,COG.remember,0.5347
blunt,PER.numb,0.5103,0.934981,0.001159,5.233227,FND.unconscious,0.9642
go away,ACT.leave,0.5007,0.974964,0.001138,6.627405,PER.smell,0.7759
indignation,EMO.anger,0.6616,0.909509,0.001116,9.597615,EMO.wish,0.6328
configuration,FND.spatiality,0.5194,0.737002,0.00104,7.445883,PRP.multiple,0.3792
gown,MAT.clothing,0.5374,0.955769,0.00104,6.507447,PRP.smooth,0.5991
project,COG.intention,0.5319,0.894508,0.001029,5.578703,COG.think,0.3597
ease,SOC.rest,0.433,0.911582,0.00099,9.807,CHG.stay,0.6307
sunlight,ELM.sun,0.4304,0.872974,0.000952,11.05153,NAT.river,0.4527
form,ACT.make,0.4246,0.884918,0.000922,13.543978,ACT.create,0.4969
chagrin,EMO.shame,0.5474,0.968005,0.000877,5.323387,EMO.anger,0.5337
authority,SOC.official,0.3595,0.918079,0.000845,5.498452,SOC.citizen,0.5306
shape,ACT.make,0.4246,0.899406,0.000821,12.735358,CHG.grow,0.444
figure,EXS.physical_body,0.5838,0.945786,0.000815,6.468724,FND.body,0.675
thought,COG.think,0.6106,0.935021,0.000749,12.123029,FND.mind,0.4695
product,ACT.create,0.4351,0.832445,0.000738,10.21631,ACT.make,0.6619
elementary,PRP.easy,0.3788,0.804101,0.000703,5.042507,WLD.unskilled,0.54
dispute,COM.conflict,0.603,0.951216,0.000678,4.650711,EMO.hate,0.5488
prostration,STA.illness,0.3412,0.952623,0.000483,4.720887,STA.pain,0.6752
gait,BOD.foot,0.5036,0.866855,0.000474,11.765324,BOD.ear,0.5663
grief,EMO.sorrow,0.7077,0.832451,0.000379,14.790837,EMO.shame,0.4551
heroic,EMO.courage,0.4965,0.912958,0.000196,10.407742,COG.enlightenment,0.5396
jam,SOC.obstruct,0.4288,0.812554,0.000157,7.066211,ACT.lose,0.3239
dull,PRP.murky,0.3814,0.836371,0.000155,8.698228,PER.stench,0.434
reversion,SPC.reverse,0.4343,0.0,0.0,9.224203,ABS.bound,0.667
allow for,ACT.leave,0.4095,0.0,0.0,12.739422,ABS.bound,0.8032
speak,BOD.mouth,0.3971,0.0,0.0,12.650894,ABS.bound,0.0
enter,CHG.begin,0.3045,0.0,0.0,14.057282,ABS.bound,0.723
encounter,STA.war,0.342,0.0,0.0,13.096852,ABS.bound,0.9149
unnumbered,FND.numberless,0.4389,0.0,0.0,11.672962,ABS.bound,0.9639
soft,PRP.easy,0.3786,0.0,0.0,8.247004,ABS.bound,0.7096
retentivity,FND.memory,0.6025,0.909252,-1.3e-05,6.036164,COG.remember,0.8878
indistinguishable,REL.same,0.4648,0.823286,-3.1e-05,13.12045,EXS.presence,0.6314
ail,STA.pain,0.5794,0.927579,-8.4e-05,6.320321,ECO.waste,0.6043
touching,PER.touch,0.4316,0.947374,-0.00016,6.394684,BOD.hand,0.5817
erose,PRP.rough,0.423,0.935685,-0.000164,5.421372,ELM.light,0.7966
comfort,STA.comfort,0.6391,0.944102,-0.000172,5.693705,PER.smell,0.659
go forth,ACT.leave,0.4281,0.931962,-0.000199,8.20548,PRP.fast,0.5502
uprise,ACT.stand,0.3711,0.951856,-0.000201,5.620498,ACT.ascend,0.7886
researcher,WLD.science,0.5588,0.770471,-0.000207,11.092378,COG.learn,0.4003
make,ACT.make,0.4433,0.925987,-0.000278,11.6132,ACT.build,0.5383
agony,STA.pain,0.6457,0.94253,-0.000328,7.271896,PER.blind,0.5591
playfulness,FND.play,0.6163,0.891193,-0.000505,4.77795,ABS.other,0.3815
pure,PER.untouched,0.3563,0.963949,-0.00056,3.822221,PER.odorless,0.5945
historical,TIM.past,0.5236,0.797864,-0.000571,12.798411,COM.announce,0.3552
vend,ECO.sell,0.4797,0.896748,-0.000582,9.528707,ACT.give,0.6379
stop,ACT.stop,0.486,0.890445,-0.000668,6.611936,STA.healing,0.5532
get,STA.pain,0.3287,0.870546,-0.000679,10.935541,STA.wound,0.614
knock,SOC.criticize,0.5631,0.818484,-0.000706,7.769924,COM.conflict,0.5382
instinct,COG.instinct,0.6612,0.884614,-0.00075,6.085157,COG.mindless,0.9504
decrepit,PRP.weak,0.6083,0.93782,-0.000755,5.499985,PER.blind,0.5594
nose,PER.smell,0.3748,0.941871,-0.000818,6.548197,PER.taste,0.5443
shining,PRP.bright,0.3762,0.898322,-0.000833,6.330446,PER.delicious,0.6493
trauma,STA.wound,0.6129,0.926599,-0.000886,8.093876,STA.pain,0.622
tranquillise,ACT.calm,0.5498,0.912749,-0.000942,7.280639,EMO.courage,0.7531
hot,PRP.hot,0.5556,0.919595,-0.000971,7.672428,PRP.dirty,0.8066
closure,CHG.end,0.4344,0.855551,-0.000987,5.305119,TIM.past,0.355
exterior,SPC.outside,0.5818,0.910991,-0.001093,7.734335,FND.spatiality,0.8254
dim,PRP.dark,0.4315,0.936123,-0.001116,7.161423,PRP.murky,0.611
affright,EMO.fear,0.7679,0.925247,-0.001121,5.74845,EMO.anger,0.5608
stream,NAT.river,0.5845,0.819994,-0.001133,6.398282,ELM.water,0.3176
despise,EMO.contempt,0.5195,0.962403,-0.001158,4.633649,EMO.hate,0.794
inquisitive,COM.question,0.4055,0.832264,-0.001159,12.640058,COG.learn,0.4316
waste,ECO.waste,0.6224,0.905952,-0.001162,7.512144,ELM.darkness,0.7419
enjoyment,EMO.like,0.6779,0.912749,-0.00117,7.521382,EMO.happiness,0.7302
utter,COM.speak,0.4946,0.917119,-0.001243,9.294592,COG.think,0.5048
welcome,ACT.receive,0.3815,0.849185,-0.001258,9.338987,EMO.love,0.8083
dirt,PRP.dirty,0.6394,0.941267,-0.001368,7.366721,PER.stench,0.6155
liquified,ELM.water,0.4671,0.905382,-0.001473,8.045514,EXS.matter,0.8654
simplicity,STA.comfort,0.4217,0.94071,-0.001498,6.521456,PER.sweet,0.3417
upset,STA.illness,0.555,0.901152,-0.001631,7.565147,WLD.artless,0.6546
irrationality,LOG.unreason,0.6916,0.953923,-0.001655,4.538722,EMO.contempt,0.5142
moony,ELM.moon,0.5306,0.878359,-0.001666,10.428475,ELM.night,0.4447
incredulity,EMO.doubt,0.5559,0.928637,-0.001785,5.038975,COG.mindless,0.9159
thinness,PRP.narrow,0.4545,0.903107,-0.001836,6.002973,PRP.rough,0.4952
fright,EMO.fear,0.5932,0.900238,-0.001983,12.97295,STA.danger,0.4734
odorless,PER.odorless,0.622,0.961734,-0.001987,8.547586,PER.untouched,0.449
start,CHG.begin,0.7055,0.846831,-0.001989,7.981108,PRP.new,0.9468
sadness,EMO.unhappiness,0.5758,0.953931,-0.002056,5.853479,EMO.worry,0.7549
pride,EMO.pride,0.6331,0.937718,-0.002081,8.245843,EMO.doubt,0.6319
steady,ACT.calm,0.3783,0.912955,-0.002326,11.195235,EMO.forgiveness,0.5102
active,LOG.cause,0.5569,0.793333,-0.002335,9.754393,LOG.effect,0.4876
obstruct,SOC.obstruct,0.4288,0.788982,-0.002357,8.430027,SOC.homeless,0.477
enlightenment,COG.enlightenment,0.5547,0.929429,-0.002376,10.792704,EXS.spirit,0.5169
mute,COM.muteness,0.6585,0.948055,-0.002421,5.018964,WLD.unskilled,0.9427
potent,PRP.strong,0.3651,0.957249,-0.00247,5.385165,MAT.naked,0.6659
musing,COG.think,0.4149,0.907034,-0.002578,6.167261,COG.know,0.6234
putrefaction,CHG.decay,0.6058,0.914454,-0.002617,8.00119,ECO.waste,0.6003
hollow,EXS.void,0.4591,0.841316,-0.002628,11.43284,EXS.vitality,0.47
liquid,ELM.water,0.5235,0.830897,-0.002658,8.75206,SPC.outside,0.618
mature,PRP.aged,0.6502,0.864757,-0.002663,6.207615,PRP.old,0.3029
come near,TIM.come,0.4407,0.833881,-0.002683,7.759691,PER.fragrance,0.93
drop down,ACT.sink,0.6065,0.816398,-0.002724,7.86578,PRP.wide,0.7068
sluggishness,PRP.slow,0.4902,0.897911,-0.00284,5.775992,PRP.blunt,0.3345
dismission,ABS.release,0.3531,0.906372,-0.002905,12.065982,ACT.calm,0.5753
pain,STA.wound,0.5065,0.912403,-0.002949,9.8304,STA.pain,0.4261
acquisition,COG.learn,0.6599,0.909975,-0.002953,4.422907,COG.remember,0.7993
responsibility,ABS.responsibility,0.5609,0.870345,-0.002985,11.312837,SOC.citizen,0.5546
knockout,VAL.beauty,0.4716,0.839647,-0.002988,10.889734,BOD.face,0.53
flavour,PER.taste,0.6104,0.962406,-0.003025,7.294141,PER.untouched,0.5182
guard,SOC.defend,0.5461,0.896009,-0.003046,12.310189,PRP.near,0.6199
satisfy,EMO.satisfaction,0.4769,0.834089,-0.00306,8.274445,EMO.like,0.5537
causal agent,LOG.cause,0.6107,0.839913,-0.00308,16.092469,ECO.price,0.4591
blooming,NAT.flower,0.6106,0.84567,-0.003123,17.345794,CHG.begin,0.3764
maleness,BEI.male,0.7214,0.873029,-0.003232,15.890688,PRP.long,0.4803
bleak,PRP.dark,0.3639,0.916688,-0.003238,9.450556,VAL.ugliness,0.639
dislocation,STA.wound,0.3296,0.839318,-0.003295,10.809448,STA.illness,0.6517
someone,SOC.individual,0.4245,0.910942,-0.0033,5.672173,STA.health,0.9741
disdain,EMO.contempt,0.5527,0.97444,-0.003332,3.821143,EMO.dislike,0.5613
relation,SOC.family,0.4213,0.902706,-0.003403,9.819999,COM.cooperate,0.7734
hear,PER.hear,0.8208,0.876748,-0.003437,6.222085,PER.see,0.8108
monger,ECO.sell,0.4797,0.894649,-0.003542,8.487834,ACT.leave,0.5065
retrieve,FND.memory,0.5152,0.912311,-0.003572,10.52893,COG.remember,0.4815
grip,BOD.hand,0.3997,0.933698,-0.00376,8.221589,STA.wealth,0.4921
stand up,ACT.rise,0.4194,0.930603,-0.003872,9.014027,MAT.bare_hand,0.5481
emancipate,ABS.release,0.3228,0.896065,-0.003876,8.934725,EMO.apology,0.4964
rest,CHG.stay,0.3792,0.865606,-0.003975,14.630351,ACT.sit,0.425
sorrowfulness,EMO.sorrow,0.5389,0.915068,-0.004089,6.279771,EMO.shame,0.5915
total darkness,PRP.dark,0.7716,0.941593,-0.004118,9.687804,ELM.darkness,0.6242
hemorrhage,STA.wound,0.4041,0.935073,-0.004252,8.781699,STA.pain,0.5169
ageing,PRP.aged,0.6442,0.886589,-0.004427,11.605057,EXS.life,0.5312
questioning,COM.question,0.5144,0.85225,-0.004502,10.632329,FND.language,0.4431
silence,PER.soundless,0.7161,0.958512,-0.004538,8.891155,PER.untouched,0.5294
turbid,PRP.murky,0.3673,0.914188,-0.004545,4.577126,ELM.darkness,0.6018
nestling,BEI.child,0.4111,0.863149,-0.004655,9.114891,SOC.defend,0.791
hope,EMO.hope,0.4671,0.953499,-0.004769,3.951843,EMO.satisfaction,0.75
sweet,PER.sweet,0.775,0.955993,-0.004782,8.996689,VAL.beauty,0.4488
condescension,EMO.contempt,0.4879,0.93175,-0.004812,9.438188,EMO.hate,0.5082
blind,PER.blind,0.7274,0.929655,-0.004813,6.325183,COM.silence,0.5645
incorrect,VAL.incorrect,0.6235,0.887789,-0.004867,6.582117,COG.ignorance,0.6598
aroma,PER.fragrance,0.5982,0.91922,-0.00491,8.965417,PER.sweet,0.5398
raise,ACT.rise,0.5255,0.942692,-0.004932,6.430704,ACT.stand,0.7317
depart,ACT.leave,0.5007,0.882084,-0.004944,8.648287,ACT.go,0.7781
fundament,ACT.sit,0.5683,0.959412,-0.005072,5.083796,PRP.strong,0.7293
unlearn,COG.unlearned,0.5117,0.899593,-0.005113,13.885914,FND.memoryless,0.4621
tumble,ACT.descend,0.3635,0.946189,-0.005137,5.486024,BOD.eye,0.5739
walk,BOD.foot,0.6089,0.921294,-0.005153,8.116,ACT.sit,0.5823
humiliation,EMO.shame,0.5474,0.932709,-0.005217,6.841713,EMO.hate,0.6268
foolish,ABS.foolish,0.7212,0.925007,-0.005248,5.481189,LOG.unreason,0.6452
promulgation,COM.announce,0.6913,0.840794,-0.0053,6.910336,FND.information,0.6128
secret,COM.secret,0.6353,0.891649,-0.005339,9.967753,COG.unlearned,0.4484
unceasing,FND.timeless,0.5339,0.837105,-0.00535,8.452286,FND.languageless,0.6593
remembering,FND.memory,0.5434,0.936498,-0.005405,7.341445,COG.remember,0.6404
drive,ACT.move,0.5234,0.929735,-0.005412,5.684032,ACT.descend,0.7932
vacancy,EXS.void,0.6804,0.824249,-0.005432,7.449325,ELM.star,0.669
school,COM.teach,0.5442,0.898298,-0.005449,10.499372,ABS.release,0.5182
intent,COG.intention,0.6051,0.846822,-0.005454,7.02729,ABS.wise,0.9397
forbearance,EMO.patience,0.6961,0.926576,-0.005529,7.189569,EMO.doubt,0.594
cogitate,COG.think,0.5895,0.938303,-0.005534,6.866904,FND.mind,0.5696
start out,ACT.leave,0.4214,0.876186,-0.005542,6.214998,SOC.pass,0.3219
purchase,ECO.buy,0.633,0.934041,-0.005582,3.755259,ACT.give,0.3921
antipathy,EMO.dislike,0.7762,0.958196,-0.005583,5.034714,EMO.unhappiness,0.7855
garbage,ECO.waste,0.6518,0.905461,-0.005591,7.131808,SOC.obstruct,0.8672
citizen,SOC.citizen,0.5768,0.84573,-0.0056,9.133627,SOC.official,0.5213
desire,EMO.desire,0.7148,0.944777,-0.005646,6.050438,EXS.spirit,0.7356
manus,BOD.hand,0.4648,0.933413,-0.005663,6.638239,BOD.eye,0.4616
bleed,STA.wound,0.3661,0.882689,-0.005748,10.551448,PRP.dirty,0.3444
rise,ACT.rise,0.7095,0.91774,-0.005764,10.869748,ACT.stand,0.4198
shake,ACT.agitate,0.4165,0.88613,-0.005785,9.954695,ACT.dissolve,0.4268
fearful,EMO.fear,0.4762,0.935251,-0.005791,4.730153,STA.danger,0.5407
intellect,FND.mind,0.3736,0.903197,-0.005881,10.84522,COG.think,0.4881
block off,SOC.obstruct,0.4381,0.939412,-0.005885,4.71381,CHG.retreat,0.4849
potency,PRP.strong,0.3848,0.944475,-0.005886,5.784318,BOD.eye,0.6402
feed,ACT.give,0.3755,0.851454,-0.005892,7.686931,PRP.near,0.782
move up,ACT.rise,0.4195,0.952795,-0.005923,4.969479,ACT.stand,0.5663
blackout,ELM.darkness,0.6826,0.87009,-0.005961,9.425497,PRP.hot,0.4893
shame,EMO.shame,0.622,0.888365,-0.006033,16.464317,EMO.anger,0.4056
indefinite,TIM.indefinite,0.3785,0.690094,-0.006101,6.478195,SOC.individual,0.6594
win,ACT.obtain,0.4888,0.901389,-0.006186,7.932858,ECO.buy,0.4561
murky,PRP.murky,0.3673,0.853159,-0.006212,8.487696,PRP.clear,0.5047
ache,STA.pain,0.56,0.940412,-0.006267,6.724624,PRP.weak,0.6188
lift,ACT.rise,0.5963,0.952866,-0.006269,6.179757,PER.smell,0.691
aged,PRP.aged,0.6643,0.908207,-0.00632,9.01381,SOC.sleep,0.6268
ignore,COG.ignorance,0.4082,0.913462,-0.006346,11.715995,FND.memoryless,0.5355
incorporate,ACT.build,0.3828,0.808962,-0.006407,6.746737,CHG.grow,0.4047
disarray,COG.confusion,0.4635,0.918619,-0.006426,6.20655,COG.forget,0.6047
hold,BOD.hand,0.5645,0.942231,-0.00651,4.942136,PER.touch,0.7076
relaxation,SOC.rest,0.433,0.956587,-0.006521,5.636087,ACT.lie_down,0.5324
scent,PER.fragrance,0.5982,0.870735,-0.006548,9.862216,PER.sweet,0.6011
yield,ACT.give,0.4899,0.840768,-0.006628,5.589603,BEI.parent,0.467
individual,SOC.individual,0.5188,0.927474,-0.006699,5.484302,PRP.single,0.9121
dubiety,EMO.doubt,0.5986,0.960492,-0.006702,7.254105,EMO.desire,0.736
anxiety,EMO.anxiety,0.5475,0.898658,-0.006714,9.812141,PRP.difficult,0.67
private,COM.secret,0.5637,0.862015,-0.006726,7.784558,FND.memory,0.6169
consider,COG.think,0.3451,0.932507,-0.006759,7.045392,FND.consciousness,0.7079
goosy,ABS.foolish,0.4376,0.897764,-0.006816,5.944592,WLD.uncultured,0.5977
planning,ACT.create,0.3823,0.69038,-0.006847,13.796823,FND.number,0.4884
view,BOD.eye,0.427,0.952204,-0.006922,6.619746,PRP.strong,0.5268
ease,ACT.calm,0.4719,0.944566,-0.00702,5.669854,EMO.compassion,0.383
air current,ELM.wind,0.5565,0.801014,-0.007026,9.02653,ACT.move,0.6985
timelessness,FND.timeless,0.5055,0.9294,-0.00703,8.187023,FND.ahistorical,0.4619
terminus,ACT.stop,0.3658,0.810063,-0.007056,10.293576,PRP.strong,0.5157
disfavour,EMO.dislike,0.5134,0.963682,-0.007137,3.965933,EMO.pride,0.6005
skeptical,EMO.doubt,0.541,0.924573,-0.007189,5.874237,EMO.like,0.5244
taste perception,PER.taste,0.7418,0.884485,-0.0072,11.431982,PER.untouched,0.4621
record,FND.information,0.3519,0.885216,-0.007218,6.817571,FND.history,0.914
part,ACT.leave,0.4214,0.896705,-0.007292,9.402339,ACT.stand,0.7069
spirit,EXS.spirit,0.536,0.91308,-0.007347,9.253595,FND.consciousness,0.577
fire,ELM.fire,0.6422,0.861785,-0.007396,14.262684,STA.pain,0.409
immediate payment,ECO.pay,0.6364,0.847725,-0.007439,11.00364,ECO.income,0.6206
gamble,STA.danger,0.3157,0.796784,-0.007489,14.768548,COG.confusion,0.5037
angelical,PER.sweet,0.5549,0.943187,-0.007592,4.494169,VAL.beauty,0.6945
ascend,ACT.ascend,0.5404,0.931362,-0.007601,8.118227,PRP.clean,0.5705
write,ACT.create,0.3656,0.852213,-0.007632,15.735713,PRP.new,0.4118
submerging,ACT.sink,0.7489,0.863627,-0.007728,6.037338,ACT.descend,0.4313
milk,MAT.drink,0.4829,0.858835,-0.007752,6.04976,ECO.currency,0.5971
remember,FND.memory,0.5152,0.91323,-0.007772,8.216581,COG.unlearned,0.6916
government note,ECO.currency,0.5148,0.898155,-0.007802,9.889522,FND.spatiality,0.7188
product,ACT.make,0.3725,0.847765,-0.007826,11.939013,PRP.new,0.549
effect,LOG.effect,0.5185,0.773474,-0.007887,7.521946,CHG.advance,0.3693
robe,MAT.clothing,0.5374,0.922249,-0.007899,5.898039,ACT.leave,0.5697
numb,PER.numb,0.5103,0.933352,-0.007974,5.427093,WLD.artless,0.9337
lightlessness,PRP.dark,0.7716,0.800288,-0.00804,14.42837,ACT.destroy,0.4383
aggress,STA.war,0.3635,0.780562,-0.008108,9.631545,COM.conflict,0.4728
arrive,TIM.come,0.499,0.866998,-0.008183,8.819783,ACT.move,0.6365
waken,SOC.awake,0.4039,0.933321,-0.008211,7.458948,SOC.sleep,0.7712
reminiscence,FND.memory,0.5726,0.908811,-0.008214,9.002814,VAL.correct,0.5472
thought process,FND.mind,0.4803,0.831053,-0.008225,13.64107,LOG.reason,0.5087
hominian,BEI.human,0.4812,0.859841,-0.008235,9.344942,PRP.old,0.5067
savor,PER.taste,0.7113,0.933529,-0.008235,7.606683,STA.comfort,0.5123
delight,EMO.joy,0.6109,0.912051,-0.008359,6.667013,FND.intuition,0.7379
remember,COG.remember,0.5815,0.938247,-0.008376,8.33615,FND.memory,0.6584
give up,ACT.abandon,0.4755,0.851104,-0.008457,11.883579,EMO.hate,0.5471
dried,PRP.dry,0.4366,0.946266,-0.008487,6.580071,PRP.wet,0.7659
cut back,MAT.clothing,0.3868,0.921061,-0.008489,7.884343,ACT.ascend,0.6396
contradiction,VAL.falsehood,0.5038,0.856421,-0.008516,10.310667,SOC.criticize,0.3555
rejoice,EMO.happiness,0.712,0.88327,-0.00853,12.691472,EXS.spirit,0.5177
aversion,EMO.dislike,0.7762,0.921124,-0.008543,7.480239,EMO.anxiety,0.7923
logic,FND.logic,0.6615,0.75947,-0.008678,8.902442,SOC.official,0.4829
sweet-flavored,PER.sweet,0.5414,0.946745,-0.008751,9.172808,PER.delicious,0.4314
soundless,COM.silence,0.5684,0.882404,-0.008803,10.63479,EXS.presence,0.5972
break,CHG.decay,0.3042,0.888705,-0.008817,10.185175,ACT.destroy,0.5703
scare,EMO.fear,0.5706,0.918605,-0.008842,6.616717,PRP.difficult,0.4729
shortage,ECO.loss,0.3423,0.892101,-0.008864,9.140183,SOC.homeless,0.6483
arduous,PRP.difficult,0.4997,0.826297,-0.008895,5.278712,REL.alone,0.394
relief,STA.comfort,0.5344,0.916278,-0.008923,6.087916,STA.health,0.5749
sink,ACT.sink,0.6065,0.903165,-0.009024,6.293436,ACT.fall,0.9361
silent,COM.silence,0.5684,0.895572,-0.009049,5.492981,PER.soundless,0.4647
methodology,WLD.technique,0.6385,0.767542,-0.009092,8.119351,FND.logic,0.5203
elongated,PRP.long,0.4061,0.774585,-0.009107,13.881904,PRP.rough,0.4931
youth,PRP.young,0.399,0.869545,-0.009116,12.259098,EMO.hope,0.5247
displace,ACT.move,0.4928,0.906096,-0.009132,7.397041,BOD.hand,0.8038
stop,SOC.obstruct,0.4381,0.886403,-0.009151,5.548605,CHG.decay,0.3343
position,ACT.move,0.4292,0.799569,-0.009232,7.521876,PRP.shallow,0.56
flavorlessness,PER.tasteless,0.814,0.901549,-0.009271,6.388635,PRP.dirty,0.5141
rot,CHG.decay,0.6058,0.944867,-0.009316,7.619074,PER.bitter,0.5753
wounding,STA.wound,0.6451,0.91047,-0.009338,8.693958,STA.pain,0.6748
aurora,ELM.morning,0.5935,0.703109,-0.00952,10.352575,BEI.plant,0.5852
defend,SOC.defend,0.6035,0.893964,-0.009521,6.97185,ABS.bound,0.5326
amateurish,WLD.unskilled,0.6004,0.878513,-0.009554,6.973917,ABS.foolish,0.513
grainy,PRP.rough,0.431,0.88092,-0.009576,7.753528,PRP.shallow,0.62
disease,STA.illness,0.5888,0.881306,-0.009577,10.860311,STA.pain,0.541
disfavor,EMO.dislike,0.5134,0.917171,-0.009605,7.263387,EMO.shame,0.4656
historic,TIM.past,0.5236,0.795554,-0.009617,15.170124,EMO.manifest,0.3752
sexual love,EMO.love,0.6214,0.903698,-0.009618,8.530613,BEI.parent,0.4313
baby,BEI.child,0.5015,0.850493,-0.009627,13.416951,PRP.young,0.4927
instruct,COM.teach,0.4986,0.864384,-0.009663,6.085968,COM.question,0.4155
potable,MAT.drink,0.6178,0.902892,-0.009745,4.882873,ELM.water,0.7304
pardon,EMO.forgiveness,0.4097,0.944707,-0.009786,6.450703,EMO.trust,0.6251
tread,BOD.foot,0.432,0.906308,-0.010046,7.803132,PRP.narrow,0.6426
show,EMO.manifest,0.4578,0.853586,-0.010085,8.588335,ACT.calm,0.5053
